estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Nuevo Estadio	Elche	(17)	19 June	Belgium	El Salvador	1	0
Nuevo Estadio	Elche	(26)	22 June	Belgium	Hungary	1	1
Estadio José Rico Pérez	Alicante	(29)	23 June	Argentina	El Salvador	2	0
Estadio San Mamés	Bilbao	(8)	16 June	England	France	3	1
Estadio José Zorrilla	Valladolid	(11)	17 June	Czechoslovakia	Kuwait	1	1
Estadio San Mamés	Bilbao	(20)	20 June	England	Czechoslovakia	2	0
Estadio José Zorrilla	Valladolid	(23)	21 June	France	Kuwait	4	1
Estadio José Zorrilla	Valladolid	(32)	24 June	France	Czechoslovakia	1	1
Estadio San Mamés	Bilbao	(35)	25 June	England	Kuwait	1	0
Estadio Luis Casanova	Valencia	(9)	16 June	Spain	Honduras	1	1
La Romareda	Zaragoza	(12)	17 June	Yugoslavia	Northern Ireland	0	0
Estadio Luis Casanova	Valencia	(21)	20 June	Spain	Yugoslavia	2	1
La Romareda	Zaragoza	(24)	21 June	Honduras	Northern Ireland	1	1
La Romareda	Zaragoza	(33)	24 June	Honduras	Yugoslavia	0	1
Estadio Luis Casanova	Valencia	(36)	25 June	Spain	Northern Ireland	0	1
Estadio Ramón Sánchez Pizjuán	Seville	(3)	14 June	Brazil	Soviet Union	2	1
Estadio La Rosaleda	Málaga	(6)	15 June	Scotland	New Zealand	5	2
Estadio Benito Villamarín	Seville	(15)	18 June	Brazil	Scotland	4	1
Estadio La Rosaleda	Málaga	(18)	19 June	Soviet Union	New Zealand	3	0
Estadio La Rosaleda	Málaga	(27)	22 June	Soviet Union	Scotland	2	2
Estadio Benito Villamarín	Seville	(30)	23 June	Brazil	New Zealand	4	0
Camp Nou	Barcelona	(38)	28 June	Poland	Belgium	3	0
Camp Nou	Barcelona	(42)	1 July	Belgium	Soviet Union	0	1
Camp Nou	Barcelona	(46)	4 July	Soviet Union	Poland	0	0
Estadio Santiago Bernabéu	Madrid	(40)	29 June	West Germany	England	0	0
Estadio Santiago Bernabéu	Madrid	(44)	2 July	West Germany	Spain	2	1
Estadio Santiago Bernabéu	Madrid	(48)	5 July	Spain	England	0	0
Estadio Sarriá	Barcelona	(39)	29 June	Italy	Argentina	2	1
Estadio Sarriá	Barcelona	(43)	2 July	Argentina	Brazil	1	3
Estadio Sarriá	Barcelona	(47)	5 July	Italy	Brazil	3	2
Estadio Vicente Calderón	Madrid	(37)	28 June	Austria	France	0	1
Estadio Vicente Calderón	Madrid	(41)	1 July	Austria	Northern Ireland	2	2
Estadio Vicente Calderón	Madrid	(45)	4 July	Northern Ireland	France	1	4
Camp Nou	Barcelona	(49)	8 July	Poland	Italy	0	2
Estadio Ramón Sánchez Pizjuán	Seville	(50)	8 July	West Germany	pen aet	5	4
Estadio José Rico Pérez	Alicante	(51)	10 July	Poland	France	3	2
Estadio Santiago Bernabéu	NA	(52)	11 July	Italy	West Germany	3	1
